,Funcion,Algoritmos,Stat,P-Value,resultPvalue
0,1,Bat Auto vs Orig,422.0,0.4141814844895094,False
1,2,Bat Auto vs Orig,222.0,0.0002809367886548813,True
2,3,Bat Auto vs Orig,289.0,0.007166479818153066,True
3,4,Bat Auto vs Orig,337.0,0.044089805589921725,True
4,5,Bat Auto vs Orig,472.0,0.9103250189032224,False
5,6,Bat Auto vs Orig,274.0,0.0037294110221911606,True
6,7,Bat Auto vs Orig,392.0,0.21537717301984338,False
7,8,Bat Auto vs Orig,503.0,0.7567673379080005,False
8,9,Bat Auto vs Orig,360.0,0.09113728043101216,False
9,10,Bat Auto vs Orig,234.0,0.0005335354058373365,True
10,11,Bat Auto vs Orig,440.0,0.5733375520519881,False
11,12,Bat Auto vs Orig,449.0,0.6625205835400574,False
12,13,Bat Auto vs Orig,378.0,0.15099821431062369,False
13,14,Bat Auto vs Orig,434.0,0.5172343916290583,False
14,15,Bat Auto vs Orig,432.0,0.49918571241357557,False
