,Funcion,Algoritmos,Stat,P-Value,resultPvalue
0,1,BA Auto vs Orig,422.0,0.4141814844895094,False
1,2,BA Auto vs Orig,223.0,0.00029661446462564444,True
2,3,BA Auto vs Orig,307.0,0.01486235225809087,True
3,4,BA Auto vs Orig,289.0,0.007163572684158002,True
4,5,BA Auto vs Orig,472.0,0.9103250189032224,False
5,6,BA Auto vs Orig,293.0,0.00842485174101794,True
6,7,BA Auto vs Orig,346.0,0.059210932837409656,False
7,8,BA Auto vs Orig,489.0,0.9103238945532969,False
8,9,BA Auto vs Orig,360.0,0.09113728043101216,False
9,10,BA Auto vs Orig,234.0,0.0005335354058373365,True
10,11,BA Auto vs Orig,387.0,0.19037443948717803,False
11,12,BA Auto vs Orig,449.0,0.6625205835400574,False
12,13,BA Auto vs Orig,339.0,0.047124575844726894,True
13,14,BA Auto vs Orig,400.0,0.2600205270104765,False
14,15,BA Auto vs Orig,416.0,0.3675670241731843,False
