,Funcion,Algoritmos,Stat,P-Value,resultPvalue
0,1,CSA Auto vs Orig,961.0,1.4018463184347286e-11,True
1,2,CSA Auto vs Orig,473.0,0.9214945737568901,False
2,3,CSA Auto vs Orig,0.0,1.4018463184347286e-11,True
3,4,CSA Auto vs Orig,274.0,0.0037294110221911606,True
4,5,CSA Auto vs Orig,23.0,1.2429775296554153e-10,True
5,6,CSA Auto vs Orig,329.0,0.03349224301607303,True
6,7,CSA Auto vs Orig,450.0,0.6727643080310826,False
7,8,CSA Auto vs Orig,635.0,0.03015105384569108,True
8,9,CSA Auto vs Orig,48.0,1.1850750871134083e-09,True
9,10,CSA Auto vs Orig,162.0,7.562418326592393e-06,True
10,11,CSA Auto vs Orig,479.0,0.9887672945820644,False
11,12,CSA Auto vs Orig,961.0,1.3936384294186341e-11,True
12,13,CSA Auto vs Orig,284.0,0.005790753275601371,True
13,14,CSA Auto vs Orig,574.0,0.19042468179833594,False
14,15,CSA Auto vs Orig,959.0,1.6978309558299676e-11,True
